순번,이름,휴대전화,이메일,학과
0001,김갑일,010-1040-0001,dsa001@dgu.edu,경제학과
0002,김갑이,010-1040-0002,dsa002@dgu.edu,경제학과
0003,김갑삼,010-1040-0003,dsa003@dgu.edu,경제학과
0004,김갑산,010-1040-0004,dsa004@dgu.edu,경제학과
0005,김갑오,010-1040-0005,dsa005@dgu.edu,경제학과
0006,김갑유,010-1040-0006,dsa006@dgu.edu,경영정보학과
0007,김갑칠,010-1040-0007,dsa007@dgu.edu,경영정보학과
0008,김갑파,010-1040-0008,dsa008@dgu.edu,경영정보학과
0009,김갑구,010-1040-0009,dsa009@dgu.edu,경영정보학과
0010,김갑백,010-1040-0010,dsa010@dgu.edu,경영정보학과
0011,나일동,010-1040-0011,dsa011@dgu.edu,통계학과
0012,나이동,010-1040-0012,dsa012@dgu.edu,통계학과
0013,나삼동,010-1040-0013,dsa013@dgu.edu,통계학과
0014,나산동,010-1040-0014,dsa014@dgu.edu,통계학과
0015,나오동,010-1040-0015,dsa015@dgu.edu,통계학과
0016,나유동,010-1040-0016,dsa016@dgu.edu,산업시스템학과
0017,나칠동,010-1040-0017,dsa017@dgu.edu,산업시스템학과
0018,나파동,010-1040-0018,dsa018@dgu.edu,산업시스템학과
0019,나구동,010-1040-0019,dsa019@dgu.edu,산업시스템학과
0020,나백동,010-1040-0020,dsa020@dgu.edu,산업시스템학과
0021,마일순,010-1040-0021,dsa021@dgu.edu,생명과학과
0022,마이순,010-1040-0022,dsa022@dgu.edu,생명과학과
0023,마삼순,010-1040-0023,dsa023@dgu.edu,생명과학과
0024,마산순,010-1040-0024,dsa024@dgu.edu,생명과학과
0025,마오순,010-1040-0025,dsa025@dgu.edu,생명과학과
0026,마유순,010-1040-0026,dsa026@dgu.edu,건설환경공학과
0027,마칠순,010-1040-0027,dsa027@dgu.edu,건설환경공학과
0028,마파순,010-1040-0028,dsa028@dgu.edu,건설환경공학과
0029,마구순,010-1040-0029,dsa029@dgu.edu,건설환경공학과
0030,마백순,010-1040-0030,dsa030@dgu.edu,건설환경공학과
0031,사일석,010-1040-0031,dsa031@dgu.edu,사학과
0032,사이석,010-1040-0032,dsa032@dgu.edu,사학과
0033,사삼석,010-1040-0033,dsa033@dgu.edu,사학과
0034,사산석,010-1040-0034,dsa034@dgu.edu,사학과
0035,사오석,010-1040-0035,dsa035@dgu.edu,사학과
0036,사유석,010-1040-0036,dsa036@dgu.edu,지능공학전공
0037,사칠석,010-1040-0037,dsa037@dgu.edu,지능공학전공
0038,사파석,010-1040-0038,dsa038@dgu.edu,지능공학전공
0039,사구석,010-1040-0039,dsa039@dgu.edu,지능공학전공
0040,사백석,010-1040-0040,dsa040@dgu.edu,지능공학전공
0041,이일명,010-1040-0041,dsa041@dgu.edu,영화영상학과
0042,이이명,010-1040-0042,dsa042@dgu.edu,영화영상학과
0043,이삼명,010-1040-0043,dsa043@dgu.edu,영화영상학과
0044,이산명,010-1040-0044,dsa044@dgu.edu,영화영상학과
0045,이오명,010-1040-0045,dsa045@dgu.edu,영화영상학과
0046,이유명,010-1040-0046,dsa046@dgu.edu,전자전기공학부
0047,이칠명,010-1040-0047,dsa047@dgu.edu,전자전기공학부
0048,이파명,010-1040-0048,dsa048@dgu.edu,전자전기공학부
0049,이구명,010-1040-0049,dsa049@dgu.edu,전자전기공학부
0050,이백명,010-1040-0050,dsa050@dgu.edu,전자전기공학부
0051,지명일,010-1040-0051,dsa051@dgu.edu,경제학과
0052,지명이,010-1040-0052,dsa052@dgu.edu,경제학과
0053,지명삼,010-1040-0053,dsa053@dgu.edu,경제학과
0054,지명산,010-1040-0054,dsa054@dgu.edu,경제학과
0055,지명오,010-1040-0055,dsa055@dgu.edu,경제학과
0056,지명유,010-1040-0056,dsa056@dgu.edu,경영정보학과
0057,지명칠,010-1040-0057,dsa057@dgu.edu,경영정보학과
0058,지명파,010-1040-0058,dsa058@dgu.edu,경영정보학과
