순번,이름,휴대전화,이메일,학과
1,김갑일,010-1040-0001,dsa001@dgu.edu,경제학과
2,김갑이,010-1040-0002,dsa002@dgu.edu,경제학과
3,김갑삼,010-1040-0003,dsa003@dgu.edu,경제학과
4,김갑산,010-1040-0004,dsa004@dgu.edu,경제학과
5,김갑오,010-1040-0005,dsa005@dgu.edu,경제학과
6,김갑유,010-1040-0006,dsa006@dgu.edu,경영정보학과
7,김갑칠,010-1040-0007,dsa007@dgu.edu,경영정보학과
8,김갑파,010-1040-0008,dsa008@dgu.edu,경영정보학과
9,김갑구,010-1040-0009,dsa009@dgu.edu,경영정보학과
10,김갑백,010-1040-0010,dsa010@dgu.edu,경영정보학과
11,나일동,010-1040-0011,dsa011@dgu.edu,통계학과
12,나이동,010-1040-0012,dsa012@dgu.edu,통계학과
13,나삼동,010-1040-0013,dsa013@dgu.edu,통계학과
14,나산동,010-1040-0014,dsa014@dgu.edu,통계학과
15,나오동,010-1040-0015,dsa015@dgu.edu,통계학과
16,나유동,010-1040-0016,dsa016@dgu.edu,산업시스템학과
17,나칠동,010-1040-0017,dsa017@dgu.edu,산업시스템학과
18,나파동,010-1040-0018,dsa018@dgu.edu,산업시스템학과
19,나구동,010-1040-0019,dsa019@dgu.edu,산업시스템학과
20,나백동,010-1040-0020,dsa020@dgu.edu,산업시스템학과
21,마일순,010-1040-0021,dsa021@dgu.edu,생명과학과
22,마이순,010-1040-0022,dsa022@dgu.edu,생명과학과
23,마삼순,010-1040-0023,dsa023@dgu.edu,생명과학과
24,마산순,010-1040-0024,dsa024@dgu.edu,생명과학과
25,마오순,010-1040-0025,dsa025@dgu.edu,생명과학과
26,마유순,010-1040-0026,dsa026@dgu.edu,건설환경공학과
27,마칠순,010-1040-0027,dsa027@dgu.edu,건설환경공학과
28,마파순,010-1040-0028,dsa028@dgu.edu,건설환경공학과
29,마구순,010-1040-0029,dsa029@dgu.edu,건설환경공학과
30,마백순,010-1040-0030,dsa030@dgu.edu,건설환경공학과
31,사일석,010-1040-0031,dsa031@dgu.edu,사학과
32,사이석,010-1040-0032,dsa032@dgu.edu,사학과
33,사삼석,010-1040-0033,dsa033@dgu.edu,사학과
34,사산석,010-1040-0034,dsa034@dgu.edu,사학과
35,사오석,010-1040-0035,dsa035@dgu.edu,사학과
36,사유석,010-1040-0036,dsa036@dgu.edu,지능공학전공
37,사칠석,010-1040-0037,dsa037@dgu.edu,지능공학전공
38,사파석,010-1040-0038,dsa038@dgu.edu,지능공학전공
39,사구석,010-1040-0039,dsa039@dgu.edu,지능공학전공
40,사백석,010-1040-0040,dsa040@dgu.edu,지능공학전공
41,이일명,010-1040-0041,dsa041@dgu.edu,영화영상학과
42,이이명,010-1040-0042,dsa042@dgu.edu,영화영상학과
43,이삼명,010-1040-0043,dsa043@dgu.edu,영화영상학과
44,이산명,010-1040-0044,dsa044@dgu.edu,영화영상학과
45,이오명,010-1040-0045,dsa045@dgu.edu,영화영상학과
46,이유명,010-1040-0046,dsa046@dgu.edu,전자전기공학부
47,이칠명,010-1040-0047,dsa047@dgu.edu,전자전기공학부
48,이파명,010-1040-0048,dsa048@dgu.edu,전자전기공학부
49,이구명,010-1040-0049,dsa049@dgu.edu,전자전기공학부
50,이백명,010-1040-0050,dsa050@dgu.edu,전자전기공학부
51,지명일,010-1040-0051,dsa051@dgu.edu,경제학과
52,지명이,010-1040-0052,dsa052@dgu.edu,경제학과
53,지명삼,010-1040-0053,dsa053@dgu.edu,경제학과
54,지명산,010-1040-0054,dsa054@dgu.edu,경제학과
55,지명오,010-1040-0055,dsa055@dgu.edu,경제학과
56,지명유,010-1040-0056,dsa056@dgu.edu,경영정보학과
57,지명칠,010-1040-0057,dsa057@dgu.edu,경영정보학과
58,지명파,010-1040-0058,dsa058@dgu.edu,경영정보학과
59,지명구,010-1040-0059,dsa059@dgu.edu,경영정보학과
60,지명백,010-1040-0060,dsa060@dgu.edu,경영정보학과
61,백일철,010-1040-0061,dsa061@dgu.edu,통계학과
62,백이철,010-1040-0062,dsa062@dgu.edu,통계학과
63,백삼철,010-1040-0063,dsa063@dgu.edu,통계학과
64,백산철,010-1040-0064,dsa064@dgu.edu,통계학과
65,백오철,010-1040-0065,dsa065@dgu.edu,통계학과
66,백유철,010-1040-0066,dsa066@dgu.edu,산업시스템학과
67,백칠철,010-1040-0067,dsa067@dgu.edu,산업시스템학과
68,백파철,010-1040-0068,dsa068@dgu.edu,산업시스템학과
69,백구철,010-1040-0069,dsa069@dgu.edu,산업시스템학과
70,백백철,010-1040-0070,dsa070@dgu.edu,산업시스템학과
71,백11철,010-1040-0071,dsa071@dgu.edu,생명과학과
72,차순일,010-1040-0072,dsa072@dgu.edu,생명과학과
73,차순이,010-1040-0073,dsa073@dgu.edu,생명과학과
74,차순삼,010-1040-0074,dsa074@dgu.edu,생명과학과
75,차순산,010-1040-0075,dsa075@dgu.edu,생명과학과
76,차순오,010-1040-0076,dsa076@dgu.edu,건설환경공학과
77,차순유,010-1040-0077,dsa077@dgu.edu,건설환경공학과
78,차순칠,010-1040-0078,dsa078@dgu.edu,건설환경공학과
79,차순파,010-1040-0079,dsa079@dgu.edu,건설환경공학과
80,차순구,010-1040-0080,dsa080@dgu.edu,건설환경공학과
81,허일호,010-1040-0081,dsa081@dgu.edu,사학과
82,허이호,010-1040-0082,dsa082@dgu.edu,사학과
83,허삼호,010-1040-0083,dsa083@dgu.edu,사학과
84,허산호,010-1040-0084,dsa084@dgu.edu,사학과
85,허오호,010-1040-0085,dsa085@dgu.edu,사학과
86,허유호,010-1040-0086,dsa086@dgu.edu,지능공학전공
87,허칠호,010-1040-0087,dsa087@dgu.edu,지능공학전공
88,허파호,010-1040-0088,dsa088@dgu.edu,지능공학전공
89,허구호,010-1040-0089,dsa089@dgu.edu,지능공학전공
90,허백호,010-1040-0090,dsa090@dgu.edu,지능공학전공
91,장일숙,010-1040-0091,dsa091@dgu.edu,영화영상학과
92,장이숙,010-1040-0092,dsa092@dgu.edu,영화영상학과
93,장삼숙,010-1040-0093,dsa093@dgu.edu,영화영상학과
94,장산숙,010-1040-0094,dsa094@dgu.edu,영화영상학과
95,장오숙,010-1040-0095,dsa095@dgu.edu,영화영상학과
96,장유숙,010-1040-0096,dsa096@dgu.edu,전자전기공학부
97,장칠숙,010-1040-0097,dsa097@dgu.edu,전자전기공학부
98,장파숙,010-1040-0098,dsa098@dgu.edu,전자전기공학부
99,장구숙,010-1040-0099,dsa099@dgu.edu,전자전기공학부
100,장백숙,010-1040-0100,dsa100@dgu.edu,전자전기공학부
101,아이일,010-1040-0101,dsa101@dgu.edu,환경공학과
102,아이이,010-1040-0102,dsa102@dgu.edu,환경공학과
103,아이삼,010-1040-0103,dsa103@dgu.edu,환경공학과
104,아이사,010-1040-0104,dsa104@dgu.edu,환경공학과
105,아이오,010-1040-0105,dsa105@dgu.edu,환경공학과
106,아이육,010-1040-0106,dsa106@dgu.edu,환경공학과
107,아이칠,010-1040-0107,dsa107@dgu.edu,환경공학과
108,아이팔,010-1040-0108,dsa108@dgu.edu,환경공학과
109,아이구,010-1040-0109,dsa109@dgu.edu,환경공학과
110,아이십,010-1040-0110,dsa110@dgu.edu,환경공학과
